rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.64806338E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.99600888E-07
1.42776138E-04  1.76360126E-01  -9.53525233E-07  1.04452275E-06  3.11853566E-05  4.97361615E-07
1.44689427E-04  1.76667229E-01  -9.89947182E-07  1.04561214E-06  3.15933668E-05  4.97301558E-07
1.46607539E-04  1.76978964E-01  -1.02728764E-06  1.04671333E-06  3.20020147E-05  4.97240567E-07
1.48530433E-04  1.77295345E-01  -1.06555582E-06  1.04782617E-06  3.24112839E-05  4.97178637E-07
1.50458059E-04  1.77616381E-01  -1.10476050E-06  1.04895053E-06  3.28211558E-05  4.97115765E-07
1.52390376E-04  1.77942086E-01  -1.14491048E-06  1.05008625E-06  3.32316142E-05  4.97051947E-07
1.54327342E-04  1.78272469E-01  -1.18601421E-06  1.05123318E-06  3.36426420E-05  4.96987181E-07
1.56268914E-04  1.78607542E-01  -1.22807997E-06  1.05239117E-06  3.40542222E-05  4.96921461E-07
1.58215048E-04  1.78947314E-01  -1.27111573E-06  1.05356007E-06  3.44663375E-05  4.96854786E-07
1.60165703E-04  1.79291794E-01  -1.31512932E-06  1.05473972E-06  3.48789716E-05  4.96787152E-07
1.62120841E-04  1.79640993E-01  -1.36012835E-06  1.05592995E-06  3.52921081E-05  4.96718555E-07
1.64080420E-04  1.79994919E-01  -1.40612008E-06  1.05713060E-06  3.57057301E-05  4.96648992E-07
1.66044400E-04  1.80353580E-01  -1.45311164E-06  1.05834150E-06  3.61198213E-05  4.96578460E-07
1.68012747E-04  1.80716984E-01  -1.50110995E-06  1.05956249E-06  3.65343662E-05  4.96506955E-07
1.69985413E-04  1.81085139E-01  -1.55012143E-06  1.06079339E-06  3.69493468E-05  4.96434476E-07
1.71962376E-04  1.81458053E-01  -1.60015277E-06  1.06203404E-06  3.73647501E-05  4.96361018E-07
1.73943589E-04  1.81835733E-01  -1.65120989E-06  1.06328424E-06  3.77805583E-05  4.96286578E-07
1.75929014E-04  1.82218184E-01  -1.70329860E-06  1.06454383E-06  3.81967552E-05  4.96211154E-07
1.77918627E-04  1.82605414E-01  -1.75642480E-06  1.06581263E-06  3.86133273E-05  4.96134743E-07
1.79912387E-04  1.82997427E-01  -1.81059371E-06  1.06709045E-06  3.90302579E-05  4.96057342E-07
1.81910259E-04  1.83394231E-01  -1.86581045E-06  1.06837712E-06  3.94475314E-05  4.95978947E-07
1.83912206E-04  1.83795827E-01  -1.92207978E-06  1.06967243E-06  3.98651319E-05  4.95899557E-07
1.85918206E-04  1.84202224E-01  -1.97940659E-06  1.07097621E-06  4.02830462E-05  4.95819169E-07
1.87928227E-04  1.84613426E-01  -2.03779528E-06  1.07228828E-06  4.07012595E-05  4.95737778E-07
1.89942226E-04  1.85029435E-01  -2.09724964E-06  1.07360844E-06  4.11197546E-05  4.95655385E-07
1.91960179E-04  1.85450255E-01  -2.15777367E-06  1.07493649E-06  4.15385179E-05  4.95571984E-07
1.93982052E-04  1.85875890E-01  -2.21937092E-06  1.07627225E-06  4.19575341E-05  4.95487575E-07
