,rho,ne,v_phi,Te,E_rho
120,0.0006,0.42933842,-0.00024504081,1.2467734e-06,0.00020096400000002175
121,0.000605,0.43229849,-0.00024777869,1.2469107e-06,0.0002021359999999913
122,0.00061,0.43526464,-0.00025049477,1.2470069e-06,0.0002032999999999997
123,0.000615,0.43823657,-0.0002531887,1.2470627e-06,0.00020444999999999968
124,0.00062,0.44121397,-0.00025586016,1.2470787e-06,0.00020559399999999908
125,0.000625,0.44419652,-0.00025850883,1.2470557e-06,0.00020672200000000393
126,0.00063,0.44718393,-0.00026113441,1.2469944e-06,0.00020784399999998707
127,0.000635,0.45017589,-0.00026373663,1.2468954e-06,0.00020895400000001135
128,0.00064,0.4531721,-0.0002663152,1.2467594e-06,0.00021004999999998483
129,0.000645,0.45617226,-0.00026886989,1.2465872e-06,0.00021114000000000468
130,0.00065,0.45917607,-0.00027140046,1.2463794e-06,0.0002122180000000142
131,0.000655,0.46218325,-0.00027390668,1.2461367e-06,0.000213285999999992
132,0.00066,0.4651935,-0.00027638836,1.2458599e-06,0.00021434000000000372
133,0.000665,0.46820653,-0.0002788453,1.2455495e-06,0.00021538599999998642
134,0.00067,0.47122206,-0.00028127732,1.2452063e-06,0.00021642200000001756
135,0.000675,0.4742398,-0.00028368425,1.2448311e-06,0.00021744399999999793
136,0.00068,0.47725948,-0.00028606596,1.2444243e-06,0.00021845999999999885
137,0.000685,0.48028081,-0.00028842228,1.2439868e-06,0.00021946199999999612
138,0.00069,0.48330353,-0.00029075311,1.2435191e-06,0.0002204540000000111
139,0.000695,0.48632735,-0.00029305832,1.243022e-06,0.0002214379999999807
140,0.0007,0.489352,-0.00029533781,1.2424962e-06,0.00022240600000001924
141,0.000705,0.49237723,-0.00029759149,1.2419421e-06,0.0002233679999999937
142,0.00071,0.49540277,-0.00029981927,1.2413606e-06,0.00022431799999998817
143,0.000715,0.49842835,-0.00030202109,1.2407522e-06,0.00022525600000000262
144,0.00072,0.50145372,-0.00030419689,1.2401176e-06,0.00022618600000000924
145,0.000725,0.50447862,-0.00030634661,1.2394575e-06,0.00022710399999999843
146,0.00073,0.5075028,-0.00030847021,1.2387723e-06,0.00022800999999999776
147,0.000735,0.51052601,-0.00031056766,1.2380628e-06,0.00022890799999999417
148,0.00074,0.51354799,-0.00031263895,1.2373296e-06,0.00022979400000001056
149,0.000745,0.51656852,-0.00031468405,1.2365732e-06,0.00023067199999999796
150,0.00075,0.51958734,-0.00031670296,1.2357943e-06,0.00023153399999999082
151,0.000755,0.52260423,-0.00031869568,1.2349934e-06,0.00023239200000001154
152,0.00076,0.52561893,-0.00032066223,1.2341711e-06,0.0002332339999999954
153,0.000765,0.52863123,-0.00032260262,1.2333281e-06,0.00023406799999999765
