radius	number_density	azimuthal_velocity	temperature	radial_electric_field
0.004925	1.019677	-2.6398108e-05	9.8273456e-07	2.9106043147287686e-05
0.00493	1.0196104	-2.6238215e-05	9.828141e-07	2.8978527603570123e-05
0.004935	1.0195438	-2.6079128e-05	9.8289342e-07	2.8851504163051417e-05
0.00494	1.0194774	-2.5920844e-05	9.8297252e-07	2.8724971005580142e-05
0.004945	1.0194111	-2.5763361e-05	9.8305139e-07	2.859892681533309e-05
0.00495	1.019345	-2.5606675e-05	9.8313005e-07	2.8473369780288356e-05
0.004955	1.019279	-2.5450784e-05	9.8320848e-07	2.834829859271075e-05
0.00496	1.0192131	-2.5295684e-05	9.8328668e-07	2.8223711948626064e-05
0.004965	1.0191473	-2.5141373e-05	9.8336466e-07	2.8099608547802194e-05
0.00497	1.0190817	-2.4987848e-05	9.8344242e-07	2.7975986593730302e-05
0.004975	1.0190162	-2.4835106e-05	9.8351995e-07	2.7852844794108607e-05
0.00498	1.0189509	-2.4683144e-05	9.8359725e-07	2.773018136031932e-05
0.004985	1.0188857	-2.4531958e-05	9.8367434e-07	2.7607995007911583e-05
0.00499	1.0188206	-2.4381547e-05	9.8375119e-07	2.7486284456079623e-05
0.004995	1.0187557	-2.4231908e-05	9.8382782e-07	2.7365047927644526e-05
0.005	1.0186909	-2.4083036e-05	9.8390422e-07	2.7244284149536137e-05
0.005005	1.0186262	-2.393493e-05	9.8398039e-07	2.7123991852272946e-05
0.00501	1.0185617	-2.3787587e-05	9.8405634e-07	2.7004169269944223e-05
0.005015	1.0184973	-2.3641003e-05	9.8413206e-07	2.6884815140690734e-05
0.00502	1.0184331	-2.3495176e-05	9.8420756e-07	2.6765927706186592e-05
0.005025	1.018369	-2.3350103e-05	9.8428282e-07	2.6647505712119097e-05
0.00503	1.018305	-2.3205781e-05	9.8435786e-07	2.6529547907671832e-05
0.005035	1.0182412	-2.3062207e-05	9.8443267e-07	2.6412052545507286e-05
0.00504	1.0181775	-2.2919378e-05	9.8450725e-07	2.629501838224568e-05
0.005045	1.0181139	-2.2777292e-05	9.845816e-07	2.617844417794973e-05
0.00505	1.0180505	-2.2635946e-05	9.8465572e-07	2.6062328196107652e-05
0.005055	1.0179872	-2.2495336e-05	9.8472961e-07	2.5946669204110778e-05
0.00506	1.0179241	-2.235546e-05	9.8480328e-07	2.583146547274018e-05
0.005065	1.0178611	-2.2216316e-05	9.8487671e-07	2.5716715776643603e-05
0.00507	1.0177982	-2.2077899e-05	9.8494991e-07	2.560241889382317e-05
0.005075	1.0177355	-2.1940208e-05	9.8502289e-07	2.5488573105618955e-05
0.00508	1.0176729	-2.1803239e-05	9.8509563e-07	2.5375177197184633e-05
0.005085	1.0176105	-2.166699e-05	9.8516815e-07	2.5262229456977158e-05
0.00509	1.0175482	-2.1531458e-05	9.8524043e-07	2.5149728677231604e-05
0.005095	1.0174861	-2.139664e-05	9.8531248e-07	2.5037673153452008e-05
0.0051	1.017424	-2.1262534e-05	9.853843e-07	2.4926062184885508e-05
0.005105	1.0173622	-2.1129136e-05	9.8545589e-07	2.481489357352466e-05
0.00511	1.0173005	-2.0996443e-05	9.8552725e-07	2.4704166125561603e-05
0.005115	1.0172389	-2.0864454e-05	9.8559838e-07	2.4593878650390083e-05
0.00512	1.0171774	-2.0733164e-05	9.8566928e-07	2.44840299605898e-05
0.005125	1.0171161	-2.0602572e-05	9.8573995e-07	2.4374618371910918e-05
0.00513	1.017055	-2.0472674e-05	9.8581038e-07	2.4265642203745852e-05
0.005135	1.016994	-2.0343468e-05	9.8588058e-07	2.415710027911161e-05
0.00514	1.0169331	-2.0214951e-05	9.8595056e-07	2.404899142414574e-05
0.005145	1.0168724	-2.0087121e-05	9.860203e-07	2.3941313968091177e-05
0.00515	1.0168118	-1.9959973e-05	9.8608981e-07	2.3834066743766658e-05
0.005155	1.0167514	-1.9833507e-05	9.8615908e-07	2.3727248087064314e-05
0.00516	1.0166911	-1.9707718e-05	9.8622813e-07	2.3620856837419363e-05
0.005165	1.0166309	-1.9582605e-05	9.8629694e-07	2.3514891837308863e-05
0.00517	1.0165709	-1.9458164e-05	9.8636552e-07	2.3409351432237104e-05
0.005175	1.0165111	-1.9334393e-05	9.8643387e-07	2.330423397120396e-05
0.00518	1.0164514	-1.9211288e-05	9.8650199e-07	2.3199538306688076e-05
0.005185	1.0163918	-1.9088848e-05	9.8656987e-07	2.3095263294147923e-05
0.00519	1.0163324	-1.896707e-05	9.8663753e-07	2.29914072920075e-05
0.005195	1.0162731	-1.884595e-05	9.8670495e-07	2.2887969162123187e-05
0.0052	1.0162139	-1.8725487e-05	9.8677214e-07	2.278494776928656e-05
0.005205	1.016155	-1.8605677e-05	9.868391e-07	2.2682340981210228e-05
0.00521	1.0160961	-1.8486517e-05	9.8690582e-07	2.2580148169473622e-05
0.005215	1.0160374	-1.8368006e-05	9.8697232e-07	2.2478367708066155e-05
0.00522	1.0159789	-1.825014e-05	9.8703858e-07	2.2376997974333625e-05
0.005225	1.0159205	-1.8132916e-05	9.8710461e-07	2.2276037848962132e-05
0.00523	1.0158622	-1.8016333e-05	9.8717041e-07	2.2175486215484084e-05
0.005235	1.0158041	-1.7900387e-05	9.8723598e-07	2.2075341460264673e-05
